,Rating,Reviews,Ratings
58,3.8 out of 5,"Pros:
1. Looks attractive and does not eat to much space.
2. Ideal for a small room
3. Satellite speaks are decent
4. Remote is very nice and has a good response.
5. Connecting on pc/FM/Bluetooth/aux is super easy and does not even require to connect to manual.
6. Make sure when connecting to pc or any device via wire, press the Aux button in remote

Cons:
1. Sub woofer is too small and does not contribute well to your sound experience.
2. Woofer effect is almost not present or it's not powerful enough to give you any thump as it should. Don't expect this to give you that thump, it will not.
3. I find the cables to short to place the satellite speakers well.
4. There is distortion in sound, if you keep Bass even to half of its capacity and then everything get shaky.

Overall do not buy this and but FD has a good speakers in upper range. So, add few buck to your shopping and go for top range.

FD is good with the hardware and I would still recommend FD in top range, as my previous speakers from FD survived more than 5 years and never gave a problem and I had a good sound experience with it.

Well that said, this product is still ideal for someone listening to songs that would not involve loud thumps from the bass and just want to enjoy Bluetooth connectivity/FM/USB in small space with very little to spend.",3.8
59,3.8 out of 5,"Pros:
1. Looks attractive and does not eat to much space.
2. Ideal for a small room
3. Satellite speaks are decent
4. Remote is very nice and has a good response.
5. Connecting on pc/FM/Bluetooth/aux is super easy and does not even require to connect to manual.
6. Make sure when connecting to pc or any device via wire, press the Aux button in remote

Cons:
1. Sub woofer is too small and does not contribute well to your sound experience.
2. Woofer effect is almost not present or it's not powerful enough to give you any thump as it should. Don't expect this to give you that thump, it will not.
3. I find the cables to short to place the satellite speakers well.
4. There is distortion in sound, if you keep Bass even to half of its capacity and then everything get shaky.

Overall do not buy this and but FD has a good speakers in upper range. So, add few buck to your shopping and go for top range.

FD is good with the hardware and I would still recommend FD in top range, as my previous speakers from FD survived more than 5 years and never gave a problem and I had a good sound experience with it.

Well that said, this product is still ideal for someone listening to songs that would not involve loud thumps from the bass and just want to enjoy Bluetooth connectivity/FM/USB in small space with very little to spend.",3.8
60,3.8 out of 5,"Pros:
1. Looks attractive and does not eat to much space.
2. Ideal for a small room
3. Satellite speaks are decent
4. Remote is very nice and has a good response.
5. Connecting on pc/FM/Bluetooth/aux is super easy and does not even require to connect to manual.
6. Make sure when connecting to pc or any device via wire, press the Aux button in remote

Cons:
1. Sub woofer is too small and does not contribute well to your sound experience.
2. Woofer effect is almost not present or it's not powerful enough to give you any thump as it should. Don't expect this to give you that thump, it will not.
3. I find the cables to short to place the satellite speakers well.
4. There is distortion in sound, if you keep Bass even to half of its capacity and then everything get shaky.

Overall do not buy this and but FD has a good speakers in upper range. So, add few buck to your shopping and go for top range.

FD is good with the hardware and I would still recommend FD in top range, as my previous speakers from FD survived more than 5 years and never gave a problem and I had a good sound experience with it.

Well that said, this product is still ideal for someone listening to songs that would not involve loud thumps from the bass and just want to enjoy Bluetooth connectivity/FM/USB in small space with very little to spend.",3.8
61,3.8 out of 5,"Pros:
1. Looks attractive and does not eat to much space.
2. Ideal for a small room
3. Satellite speaks are decent
4. Remote is very nice and has a good response.
5. Connecting on pc/FM/Bluetooth/aux is super easy and does not even require to connect to manual.
6. Make sure when connecting to pc or any device via wire, press the Aux button in remote

Cons:
1. Sub woofer is too small and does not contribute well to your sound experience.
2. Woofer effect is almost not present or it's not powerful enough to give you any thump as it should. Don't expect this to give you that thump, it will not.
3. I find the cables to short to place the satellite speakers well.
4. There is distortion in sound, if you keep Bass even to half of its capacity and then everything get shaky.

Overall do not buy this and but FD has a good speakers in upper range. So, add few buck to your shopping and go for top range.

FD is good with the hardware and I would still recommend FD in top range, as my previous speakers from FD survived more than 5 years and never gave a problem and I had a good sound experience with it.

Well that said, this product is still ideal for someone listening to songs that would not involve loud thumps from the bass and just want to enjoy Bluetooth connectivity/FM/USB in small space with very little to spend.",3.8
62,4 out of 5,Good looking...base and sound quality is good......I RECOMMEND THIS PRODUCT.....,4
63,4 out of 5,Good looking...base and sound quality is good......I RECOMMEND THIS PRODUCT.....,4
64,4 out of 5,Good looking...base and sound quality is good......I RECOMMEND THIS PRODUCT.....,4
65,4 out of 5,Good looking...base and sound quality is good......I RECOMMEND THIS PRODUCT.....,4
66,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
67,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
68,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
